board_state_0, board_state_1, board_state_2, board_state_3, board_state_4, board_state_5, board_state_6, board_state_7, board_state_8, mcts_policy_0, mcts_policy_1, mcts_policy_2, mcts_policy_3, mcts_policy_4, mcts_policy_5, mcts_policy_6, mcts_policy_7, mcts_policy_8, final_outcome
0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.07592592592592592,0.08333333333333333,0.12222222222222222,0.06851851851851852,0.0,0.3592592592592593,0.15555555555555556,0.13518518518518519,0.0,0.0
0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.06481481481481481,0.06481481481481481,0.0,0.06481481481481481,0.0,0.0,0.7425925925925926,0.06296296296296296,0.0,0.0
0.0,0.0,-1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,0.046296296296296294,0.9185185185185185,0.0,0.03518518518518519,0.0,0.0,0.0,0.0,0.0,0.0
-1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,0.05740740740740741,0.05185185185185185,0.7148148148148148,0.053703703703703705,0.0,0.0,0.05740740740740741,0.06481481481481481,0.0,0.0
0.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,0.04259259259259259,0.044444444444444446,0.0,0.053703703703703705,0.0,0.0,0.0,0.8592592592592593,0.0,0.0
0.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.2814814814814815,0.0,0.06851851851851852,0.09814814814814815,0.13518518518518519,0.07037037037037037,0.0,0.2722222222222222,0.07407407407407407,1.0
1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.025925925925925925,0.8962962962962963,0.02962962962962963,0.0,0.022222222222222223,0.025925925925925925,1.0
1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.011111111111111112,0.0,0.0,0.9777777777777777,1.0
0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13148148148148148,0.0,0.12222222222222222,0.12037037037037036,0.10740740740740741,0.13148148148148148,0.15,0.12037037037037036,0.11666666666666667,-1.0
-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3314814814814815,0.12962962962962962,0.12777777777777777,0.14444444444444443,0.0,0.12777777777777777,0.1388888888888889,-1.0
-1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21666666666666667,0.0,0.2351851851851852,0.0,0.2740740740740741,0.2740740740740741,-1.0
1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.025925925925925925,0.0,0.025925925925925925,0.0,0.025925925925925925,0.9055555555555556,0.016666666666666666,0.0,1.0
1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.03518518518518519,0.0,0.9481481481481482,0.0,1.0
-1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.2,0.0,0.3055555555555556,0.0,0.21296296296296297,0.0,0.2814814814814815,0.0,-1.0
1.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05925925925925926,0.0,0.06111111111111111,0.05925925925925926,0.7611111111111111,0.05925925925925926,0.0
1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9222222222222223,0.044444444444444446,0.0,0.03333333333333333,0.0
1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7444444444444445,0.0,0.05555555555555555,0.0,0.05,0.05555555555555555,0.04814814814814815,0.046296296296296294,0.0
-1.0,1.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.34444444444444444,0.0,0.34444444444444444,0.15555555555555556,0.0,0.15555555555555556,0.0
-1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03518518518518519,0.0,0.9648148148148148,0.0
-1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9296296296296296,0.0,0.03518518518518519,0.03518518518518519,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11296296296296296,0.11481481481481481,0.10740740740740741,0.10925925925925926,0.11481481481481481,0.10740740740740741,0.1111111111111111,0.11481481481481481,0.10740740740740741,1.0
0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.2814814814814815,0.0,0.06851851851851852,0.09814814814814815,0.13518518518518519,0.07037037037037037,0.0,0.2722222222222222,0.07407407407407407,1.0
1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.025925925925925925,0.8962962962962963,0.02962962962962963,0.0,0.022222222222222223,0.025925925925925925,1.0
1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.011111111111111112,0.0,0.0,0.9777777777777777,1.0
0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13148148148148148,0.0,0.12222222222222222,0.12037037037037036,0.10740740740740741,0.13148148148148148,0.15,0.12037037037037036,0.11666666666666667,-1.0
-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3314814814814815,0.12962962962962962,0.12777777777777777,0.14444444444444443,0.0,0.12777777777777777,0.1388888888888889,-1.0
-1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21666666666666667,0.0,0.2351851851851852,0.0,0.2740740740740741,0.2740740740740741,-1.0
0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13148148148148148,0.0,0.12222222222222222,0.12037037037037036,0.10740740740740741,0.13148148148148148,0.15,0.12037037037037036,0.11666666666666667,-1.0
-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3314814814814815,0.12962962962962962,0.12777777777777777,0.14444444444444443,0.0,0.12777777777777777,0.1388888888888889,-1.0
-1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21666666666666667,0.0,0.2351851851851852,0.0,0.2740740740740741,0.2740740740740741,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11296296296296296,0.11481481481481481,0.10740740740740741,0.10925925925925926,0.11481481481481481,0.10740740740740741,0.1111111111111111,0.11481481481481481,0.10740740740740741,1.0
0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.2814814814814815,0.0,0.06851851851851852,0.09814814814814815,0.13518518518518519,0.07037037037037037,0.0,0.2722222222222222,0.07407407407407407,1.0
1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.025925925925925925,0.8962962962962963,0.02962962962962963,0.0,0.022222222222222223,0.025925925925925925,1.0
1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.011111111111111112,0.0,0.0,0.9777777777777777,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11296296296296296,0.11481481481481481,0.10740740740740741,0.10925925925925926,0.11481481481481481,0.10740740740740741,0.1111111111111111,0.11481481481481481,0.10740740740740741,1.0
0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.2814814814814815,0.0,0.06851851851851852,0.09814814814814815,0.13518518518518519,0.07037037037037037,0.0,0.2722222222222222,0.07407407407407407,1.0
1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.025925925925925925,0.8962962962962963,0.02962962962962963,0.0,0.022222222222222223,0.025925925925925925,1.0
1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.011111111111111112,0.0,0.0,0.9777777777777777,1.0
0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13148148148148148,0.0,0.12222222222222222,0.12037037037037036,0.10740740740740741,0.13148148148148148,0.15,0.12037037037037036,0.11666666666666667,-1.0
-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3314814814814815,0.12962962962962962,0.12777777777777777,0.14444444444444443,0.0,0.12777777777777777,0.1388888888888889,-1.0
-1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21666666666666667,0.0,0.2351851851851852,0.0,0.2740740740740741,0.2740740740740741,-1.0
0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13148148148148148,0.0,0.12222222222222222,0.12037037037037036,0.10740740740740741,0.13148148148148148,0.15,0.12037037037037036,0.11666666666666667,-1.0
-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3314814814814815,0.12962962962962962,0.12777777777777777,0.14444444444444443,0.0,0.12777777777777777,0.1388888888888889,-1.0
-1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21666666666666667,0.0,0.2351851851851852,0.0,0.2740740740740741,0.2740740740740741,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11296296296296296,0.11481481481481481,0.10740740740740741,0.10925925925925926,0.11481481481481481,0.10740740740740741,0.1111111111111111,0.11481481481481481,0.10740740740740741,1.0
0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.2814814814814815,0.0,0.06851851851851852,0.09814814814814815,0.13518518518518519,0.07037037037037037,0.0,0.2722222222222222,0.07407407407407407,1.0
1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.025925925925925925,0.8962962962962963,0.02962962962962963,0.0,0.022222222222222223,0.025925925925925925,1.0
1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.011111111111111112,0.0,0.0,0.9777777777777777,1.0
0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07592592592592592,0.0,0.0,0.06481481481481481,0.06481481481481481,0.4685185185185185,0.12777777777777777,0.06851851851851852,0.12962962962962962,1.0
0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.03518518518518519,0.0,0.0,0.03148148148148148,0.8481481481481481,0.0,0.053703703703703705,0.03148148148148148,0.0,1.0
0.0,-1.0,1.0,-1.0,1.0,1.0,0.0,0.0,-1.0,0.03518518518518519,0.0,0.0,0.0,0.0,0.0,0.9296296296296296,0.03518518518518519,0.0,1.0
0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14074074074074075,0.1537037037037037,0.0,0.10185185185185185,0.11481481481481481,0.11666666666666667,0.12407407407407407,0.12407407407407407,0.12407407407407407,-1.0
0.0,1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.13703703703703704,0.0,0.0,0.13333333333333333,0.1425925925925926,0.0,0.14074074074074075,0.13703703703703704,0.30925925925925923,-1.0
0.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.20925925925925926,0.0,0.0,0.29074074074074074,0.0,0.0,0.29074074074074074,0.20925925925925926,0.0,-1.0
0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.15185185185185185,0.15555555555555556,0.0,0.08888888888888889,0.0,0.24444444444444444,0.09814814814814815,0.11666666666666667,0.14444444444444443,0.0
0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.7685185185185185,0.05925925925925926,0.0,0.05740740740740741,0.0,0.0,0.05740740740740741,0.05740740740740741,0.0,0.0
1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.03518518518518519,0.0,0.0,0.040740740740740744,0.924074074074074,0.0,0.0
1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.04814814814814815,0.05925925925925926,0.0,0.04814814814814815,0.0,0.0,0.06111111111111111,0.053703703703703705,0.7296296296296296,0.0
-1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.8629629629629629,0.0,0.044444444444444446,0.0,0.0,0.05,0.04259259259259259,0.0,0.0
-1.0,1.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1425925925925926,0.0,0.06666666666666667,0.12962962962962962,0.0,0.4685185185185185,0.05925925925925926,0.06666666666666667,0.06666666666666667,1.0
0.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.05925925925925926,0.0,0.7981481481481482,0.0,0.0,0.0,0.06481481481481481,0.04259259259259259,0.03518518518518519,1.0
0.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.03518518518518519,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.9481481481481482,1.0
0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.12407407407407407,0.16666666666666666,0.12962962962962962,0.0962962962962963,0.0,0.11851851851851852,0.11666666666666667,0.11666666666666667,0.13148148148148148,-1.0
0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.14629629629629629,0.3055555555555556,0.0,0.0,0.13703703703703704,0.1388888888888889,0.1388888888888889,-1.0
0.0,1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.22407407407407406,0.0,0.0,0.0,0.0,0.0,0.29259259259259257,0.19814814814814816,0.2851851851851852,-1.0
-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8240740740740741,0.0,0.044444444444444446,0.0,0.04259259259259259,0.044444444444444446,0.044444444444444446,0.0,0.0
-1.0,1.0,-1.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.37037037037037035,0.0,0.3685185185185185,0.2611111111111111,0.0,0.0,0.0
-1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.05185185185185185,0.0,0.053703703703703705,0.05925925925925926,0.8351851851851851,0.0,0.0
1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.9648148148148148,0.03518518518518519,0.0,0.0,0.0
1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.05555555555555555,0.053703703703703705,0.7907407407407407,0.0,0.0,0.053703703703703705,0.046296296296296294,0.0,0.0
1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,0.044444444444444446,0.9222222222222223,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0
1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.2037037037037037,0.1037037037037037,0.1685185185185185,0.0,0.21851851851851853,0.17037037037037037,0.13518518518518519,0.0,0.0
-1.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.05555555555555555,0.05740740740740741,0.0,0.0,0.0,0.8462962962962963,0.040740740740740744,0.0,0.0
-1.0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0
-1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.362962962962963,0.0,0.0,0.0,0.0,0.0,0.37222222222222223,0.26481481481481484,0.0
-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.9648148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.03518518518518519,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11296296296296296,0.11481481481481481,0.10740740740740741,0.10925925925925926,0.11481481481481481,0.10740740740740741,0.1111111111111111,0.11481481481481481,0.10740740740740741,1.0
0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.2814814814814815,0.0,0.06851851851851852,0.09814814814814815,0.13518518518518519,0.07037037037037037,0.0,0.2722222222222222,0.07407407407407407,1.0
1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.025925925925925925,0.8962962962962963,0.02962962962962963,0.0,0.022222222222222223,0.025925925925925925,1.0
1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.011111111111111112,0.0,0.0,0.9777777777777777,1.0
0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13148148148148148,0.0,0.12222222222222222,0.12037037037037036,0.10740740740740741,0.13148148148148148,0.15,0.12037037037037036,0.11666666666666667,-1.0
-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3314814814814815,0.12962962962962962,0.12777777777777777,0.14444444444444443,0.0,0.12777777777777777,0.1388888888888889,-1.0
-1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21666666666666667,0.0,0.2351851851851852,0.0,0.2740740740740741,0.2740740740740741,-1.0
0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13148148148148148,0.0,0.12222222222222222,0.12037037037037036,0.10740740740740741,0.13148148148148148,0.15,0.12037037037037036,0.11666666666666667,-1.0
-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3314814814814815,0.12962962962962962,0.12777777777777777,0.14444444444444443,0.0,0.12777777777777777,0.1388888888888889,-1.0
-1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.21666666666666667,0.0,0.2351851851851852,0.0,0.2740740740740741,0.2740740740740741,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11296296296296296,0.11481481481481481,0.10740740740740741,0.10925925925925926,0.11481481481481481,0.10740740740740741,0.1111111111111111,0.11481481481481481,0.10740740740740741,1.0
0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.2814814814814815,0.0,0.06851851851851852,0.09814814814814815,0.13518518518518519,0.07037037037037037,0.0,0.2722222222222222,0.07407407407407407,1.0
1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.025925925925925925,0.8962962962962963,0.02962962962962963,0.0,0.022222222222222223,0.025925925925925925,1.0
1.0,1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.011111111111111112,0.0,0.0,0.9777777777777777,1.0
